event_date,source,medium,campaign,user_sessions_count,visit_to_cart,visit_to_checkout,visit_to_purchase,visit_to_cart_rate,visit_to_checkout_rate,visit_to_purchase_rate
2021-01-11,google,cpc,<Other>,162,6,4,2,0.037037037037037035,0.024691358024691357,0.012345679012345678
2021-01-11,google,organic,(organic),1266,46,10,5,0.036334913112164295,0.0078988941548183249,0.0039494470774091624
2021-01-11,shop.googlemerchandisestore.com,referral,(referral),273,16,5,2,0.058608058608058608,0.018315018315018316,0.007326007326007326
2021-01-12,(data deleted),(data deleted),(data deleted),246,11,10,5,0.044715447154471545,0.04065040650406504,0.02032520325203252
2021-01-12,(data deleted),(data deleted),<Other>,5,1,0,0,0.2,0.0,0.0
2021-01-12,(direct),(none),(direct),1084,35,16,12,0.032287822878228782,0.014760147601476014,0.01107011070110701
2021-01-12,<Other>,(data deleted),(data deleted),5,0,0,0,0.0,0.0,0.0
2021-01-12,<Other>,<Other>,<Other>,721,24,10,6,0.033287101248266296,0.013869625520110958,0.008321775312066574
2021-01-12,<Other>,organic,(organic),137,7,4,1,0.051094890510948905,0.029197080291970802,0.0072992700729927005
2021-01-12,<Other>,referral,(referral),462,21,6,2,0.045454545454545456,0.012987012987012988,0.004329004329004329
2021-01-12,google,cpc,<Other>,202,2,2,1,0.0099009900990099011,0.0099009900990099011,0.0049504950495049506
2021-01-12,google,organic,(organic),1475,55,24,10,0.037288135593220341,0.016271186440677966,0.0067796610169491523
2021-01-12,shop.googlemerchandisestore.com,referral,(referral),340,13,7,6,0.038235294117647062,0.020588235294117647,0.017647058823529412
2021-01-13,(data deleted),(data deleted),(data deleted),236,18,12,7,0.076271186440677971,0.050847457627118647,0.029661016949152543
2021-01-13,(data deleted),(data deleted),<Other>,3,1,1,1,0.33333333333333331,0.33333333333333331,0.33333333333333331
2021-01-13,(direct),(none),(direct),1078,37,11,5,0.034322820037105753,0.01020408163265306,0.00463821892393321
2021-01-13,<Other>,(data deleted),(data deleted),3,0,0,0,0.0,0.0,0.0
2021-01-13,<Other>,<Other>,<Other>,676,21,9,4,0.031065088757396449,0.013313609467455622,0.0059171597633136093
2021-01-13,<Other>,organic,(organic),146,6,1,0,0.0410958904109589,0.00684931506849315,0.0
2021-01-13,<Other>,referral,(referral),424,15,9,5,0.035377358490566037,0.021226415094339621,0.01179245283018868
2021-01-13,google,cpc,<Other>,215,5,2,2,0.023255813953488372,0.0093023255813953487,0.0093023255813953487
2021-01-13,google,organic,(organic),1377,58,32,8,0.04212055192447349,0.023238925199709513,0.0058097312999273783
2021-01-13,shop.googlemerchandisestore.com,referral,(referral),319,11,7,3,0.034482758620689655,0.0219435736677116,0.0094043887147335428
2021-01-14,(data deleted),(data deleted),(data deleted),225,16,9,5,0.071111111111111111,0.04,0.022222222222222223
2021-01-14,(data deleted),(data deleted),<Other>,2,0,0,0,0.0,0.0,0.0
2021-01-14,(direct),(none),(direct),1038,51,22,9,0.049132947976878616,0.02119460500963391,0.008670520231213872
2021-01-14,<Other>,(data deleted),(data deleted),6,0,0,0,0.0,0.0,0.0
2021-01-14,<Other>,<Other>,<Other>,626,19,6,5,0.03035143769968051,0.0095846645367412137,0.0079872204472843447
2021-01-14,<Other>,organic,(organic),135,6,1,0,0.044444444444444446,0.0074074074074074077,0.0
2021-01-14,<Other>,referral,(referral),395,19,7,5,0.04810126582278481,0.017721518987341773,0.012658227848101266
2021-01-14,google,cpc,<Other>,187,8,0,0,0.0427807486631016,0.0,0.0
2021-01-14,google,organic,(organic),1359,55,24,13,0.040470934510669611,0.017660044150110375,0.0095658572479764541
2021-01-14,shop.googlemerchandisestore.com,referral,(referral),348,27,13,9,0.077586206896551727,0.037356321839080463,0.025862068965517241
2021-01-15,(data deleted),(data deleted),(data deleted),190,11,3,2,0.057894736842105263,0.015789473684210527,0.010526315789473684
2021-01-15,(data deleted),(data deleted),<Other>,6,1,1,1,0.16666666666666666,0.16666666666666666,0.16666666666666666
2021-01-15,(direct),(none),(direct),937,35,17,10,0.037353255069370331,0.018143009605122731,0.010672358591248666
2021-01-15,<Other>,(data deleted),(data deleted),2,0,0,0,0.0,0.0,0.0
2021-01-15,<Other>,<Other>,<Other>,593,19,9,4,0.032040472175379427,0.015177065767284991,0.0067453625632377737
2021-01-15,<Other>,organic,(organic),108,6,2,1,0.055555555555555552,0.018518518518518517,0.0092592592592592587
2021-01-15,<Other>,referral,(referral),383,20,7,3,0.052219321148825062,0.018276762402088774,0.007832898172323759
2021-01-15,google,cpc,<Other>,160,8,2,1,0.05,0.0125,0.00625
2021-01-15,google,organic,(organic),1246,49,25,14,0.039325842696629212,0.020064205457463884,0.011235955056179775
2021-01-15,shop.googlemerchandisestore.com,referral,(referral),268,15,4,2,0.055970149253731345,0.014925373134328358,0.007462686567164179
2021-01-16,(data deleted),(data deleted),(data deleted),128,12,7,3,0.09375,0.0546875,0.0234375
2021-01-16,(data deleted),(data deleted),<Other>,4,1,0,0,0.25,0.0,0.0
2021-01-16,(direct),(none),(direct),768,33,15,4,0.04296875,0.01953125,0.005208333333333333
2021-01-16,<Other>,(data deleted),(data deleted),3,0,0,0,0.0,0.0,0.0
2021-01-16,<Other>,<Other>,<Other>,482,19,2,2,0.039419087136929459,0.0041493775933609959,0.0041493775933609959
2021-01-16,<Other>,organic,(organic),96,2,0,0,0.020833333333333332,0.0,0.0
2021-01-16,<Other>,referral,(referral),330,13,5,3,0.039393939393939391,0.015151515151515152,0.00909090909090909
2021-01-16,google,cpc,<Other>,117,6,2,1,0.05128205128205128,0.017094017094017096,0.0085470085470085479
2021-01-16,google,organic,(organic),1000,30,17,9,0.03,0.017,0.009
2021-01-16,shop.googlemerchandisestore.com,referral,(referral),218,3,3,2,0.013761467889908258,0.013761467889908258,0.0091743119266055051
2021-01-17,(data deleted),(data deleted),(data deleted),137,7,5,2,0.051094890510948905,0.0364963503649635,0.014598540145985401
2021-01-17,(data deleted),(data deleted),<Other>,4,0,0,0,0.0,0.0,0.0
2021-01-17,(direct),(none),(direct),686,16,7,0,0.023323615160349854,0.01020408163265306,0.0
2021-01-17,<Other>,<Other>,<Other>,438,12,6,3,0.0273972602739726,0.0136986301369863,0.00684931506849315
2021-01-17,<Other>,organic,(organic),78,5,1,0,0.0641025641025641,0.01282051282051282,0.0
2021-01-17,<Other>,referral,(referral),289,12,4,1,0.041522491349480967,0.01384083044982699,0.0034602076124567475
2021-01-17,google,cpc,<Other>,129,3,0,0,0.023255813953488372,0.0,0.0
2021-01-17,google,organic,(organic),1004,26,9,6,0.025896414342629483,0.0089641434262948214,0.00597609561752988
2021-01-17,shop.googlemerchandisestore.com,referral,(referral),195,8,2,2,0.041025641025641026,0.010256410256410256,0.010256410256410256
2021-01-18,(data deleted),(data deleted),(data deleted),172,11,5,1,0.063953488372093026,0.029069767441860465,0.0058139534883720929
2021-01-18,(data deleted),(data deleted),<Other>,1,0,0,0,0.0,0.0,0.0
2021-01-18,(direct),(none),(direct),804,22,9,3,0.02736318407960199,0.011194029850746268,0.0037313432835820895
2021-01-18,<Other>,(data deleted),(data deleted),2,0,0,0,0.0,0.0,0.0
2021-01-18,<Other>,<Other>,<Other>,567,17,4,3,0.029982363315696647,0.0070546737213403876,0.0052910052910052907
2021-01-18,<Other>,organic,(organic),84,0,0,0,0.0,0.0,0.0
2021-01-18,<Other>,referral,(referral),313,5,4,2,0.015974440894568689,0.012779552715654952,0.0063897763578274758
2021-01-18,google,cpc,<Other>,156,3,2,0,0.019230769230769232,0.01282051282051282,0.0
2021-01-18,google,organic,(organic),1187,37,16,7,0.031171019376579612,0.013479359730412805,0.0058972198820556026
2021-01-18,shop.googlemerchandisestore.com,referral,(referral),275,13,6,2,0.047272727272727272,0.02181818181818182,0.0072727272727272727
2021-01-19,(data deleted),(data deleted),(data deleted),208,20,10,8,0.096153846153846159,0.04807692307692308,0.038461538461538464
2021-01-19,(data deleted),(data deleted),<Other>,8,0,1,0,0.0,0.125,0.0
2021-01-19,(direct),(none),(direct),946,44,22,13,0.046511627906976744,0.023255813953488372,0.013742071881606765
2021-01-19,<Other>,(data deleted),(data deleted),2,0,0,0,0.0,0.0,0.0
2021-01-19,<Other>,<Other>,<Other>,603,16,5,3,0.026533996683250415,0.008291873963515755,0.0049751243781094526
2021-01-19,<Other>,organic,(organic),142,6,1,0,0.042253521126760563,0.0070422535211267607,0.0
2021-01-19,<Other>,referral,(referral),381,14,6,5,0.036745406824146981,0.015748031496062992,0.013123359580052493
2021-01-19,google,cpc,<Other>,177,2,0,0,0.011299435028248588,0.0,0.0
2021-01-19,google,organic,(organic),1309,54,30,14,0.041252864782276549,0.02291825821237586,0.0106951871657754
2021-01-19,shop.googlemerchandisestore.com,referral,(referral),370,19,6,3,0.051351351351351354,0.016216216216216217,0.0081081081081081086
2021-01-20,(data deleted),(data deleted),(data deleted),271,20,15,11,0.073800738007380073,0.055350553505535055,0.040590405904059039
2021-01-20,(data deleted),(data deleted),<Other>,9,1,1,0,0.1111111111111111,0.1111111111111111,0.0
2021-01-20,(direct),(none),(direct),1106,50,30,18,0.045207956600361664,0.027124773960216998,0.0162748643761302
2021-01-20,<Other>,(data deleted),(data deleted),5,1,1,1,0.2,0.2,0.2
2021-01-20,<Other>,<Other>,<Other>,706,34,21,16,0.048158640226628892,0.029745042492917848,0.0226628895184136
2021-01-20,<Other>,organic,(organic),144,8,8,3,0.055555555555555552,0.055555555555555552,0.020833333333333332
2021-01-20,<Other>,referral,(referral),465,24,13,9,0.051612903225806452,0.027956989247311829,0.01935483870967742
2021-01-20,google,cpc,<Other>,198,4,3,2,0.020202020202020204,0.015151515151515152,0.010101010101010102
2021-01-20,google,organic,(organic),1476,73,33,23,0.0494579945799458,0.022357723577235773,0.015582655826558265
2021-01-20,shop.googlemerchandisestore.com,referral,(referral),347,25,15,11,0.072046109510086456,0.043227665706051875,0.031700288184438041
2021-01-21,(data deleted),(data deleted),(data deleted),258,20,14,8,0.077519379844961239,0.054263565891472867,0.031007751937984496
2021-01-21,(data deleted),(data deleted),<Other>,5,3,2,0,0.6,0.4,0.0
2021-01-21,(direct),(none),(direct),1057,60,19,9,0.056764427625354781,0.017975402081362345,0.0085146641438032175
2021-01-21,<Other>,(data deleted),(data deleted),4,0,0,0,0.0,0.0,0.0
2021-01-21,<Other>,<Other>,<Other>,690,22,11,2,0.031884057971014491,0.015942028985507246,0.0028985507246376812
2021-01-21,<Other>,organic,(organic),138,6,1,1,0.043478260869565216,0.007246376811594203,0.007246376811594203
2021-01-21,<Other>,referral,(referral),452,27,13,7,0.059734513274336286,0.028761061946902654,0.015486725663716814
2021-01-21,google,cpc,<Other>,223,6,1,1,0.026905829596412557,0.0044843049327354259,0.0044843049327354259
2021-01-21,google,organic,(organic),1452,50,27,15,0.034435261707988982,0.01859504132231405,0.010330578512396695
2021-01-21,shop.googlemerchandisestore.com,referral,(referral),360,22,15,7,0.061111111111111109,0.041666666666666664,0.019444444444444445
2021-01-22,(data deleted),(data deleted),(data deleted),227,14,13,7,0.061674008810572688,0.057268722466960353,0.030837004405286344
2021-01-22,(data deleted),(data deleted),<Other>,6,0,1,1,0.0,0.16666666666666666,0.16666666666666666
2021-01-22,(direct),(none),(direct),946,42,25,14,0.044397463002114168,0.026427061310782242,0.014799154334038054
2021-01-22,<Other>,(data deleted),(data deleted),5,0,0,0,0.0,0.0,0.0
2021-01-22,<Other>,<Other>,<Other>,574,28,15,9,0.04878048780487805,0.026132404181184669,0.0156794425087108
2021-01-22,<Other>,organic,(organic),125,5,2,2,0.04,0.016,0.016
2021-01-22,<Other>,referral,(referral),398,19,8,6,0.047738693467336682,0.020100502512562814,0.01507537688442211
2021-01-22,google,cpc,<Other>,198,16,12,8,0.080808080808080815,0.060606060606060608,0.040404040404040407
2021-01-22,google,organic,(organic),1215,63,51,29,0.05185185185185185,0.041975308641975309,0.023868312757201648
2021-01-22,shop.googlemerchandisestore.com,referral,(referral),337,23,19,13,0.068249258160237386,0.05637982195845697,0.03857566765578635
2021-01-23,(data deleted),(data deleted),(data deleted),143,10,9,7,0.069930069930069935,0.062937062937062943,0.048951048951048952
2021-01-23,(data deleted),(data deleted),<Other>,3,0,0,0,0.0,0.0,0.0
2021-01-23,(direct),(none),(direct),716,32,21,9,0.0446927374301676,0.029329608938547486,0.012569832402234637
2021-01-23,<Other>,(data deleted),(data deleted),3,1,0,0,0.33333333333333331,0.0,0.0
2021-01-23,<Other>,<Other>,<Other>,501,23,9,3,0.04590818363273453,0.017964071856287425,0.0059880239520958087
2021-01-23,<Other>,organic,(organic),88,2,1,1,0.022727272727272728,0.011363636363636364,0.011363636363636364
2021-01-23,<Other>,referral,(referral),293,15,9,5,0.051194539249146756,0.030716723549488054,0.017064846416382253
2021-01-23,google,cpc,<Other>,146,1,0,0,0.00684931506849315,0.0,0.0
2021-01-23,google,organic,(organic),944,29,19,10,0.030720338983050849,0.020127118644067795,0.01059322033898305
2021-01-23,shop.googlemerchandisestore.com,referral,(referral),251,13,9,5,0.051792828685258967,0.035856573705179286,0.0199203187250996
2021-01-24,(data deleted),(data deleted),(data deleted),136,9,4,2,0.0661764705882353,0.029411764705882353,0.014705882352941176
2021-01-24,(data deleted),(data deleted),<Other>,4,1,1,1,0.25,0.25,0.25
2021-01-24,(direct),(none),(direct),684,24,12,6,0.035087719298245612,0.017543859649122806,0.008771929824561403
2021-01-24,<Other>,(data deleted),(data deleted),3,0,0,0,0.0,0.0,0.0
2021-01-24,<Other>,<Other>,<Other>,422,14,6,3,0.033175355450236969,0.014218009478672985,0.0071090047393364926
2021-01-24,<Other>,organic,(organic),83,1,0,0,0.012048192771084338,0.0,0.0
2021-01-24,<Other>,referral,(referral),293,16,10,3,0.054607508532423209,0.034129692832764506,0.010238907849829351
2021-01-24,google,cpc,<Other>,142,3,3,2,0.021126760563380281,0.021126760563380281,0.014084507042253521
2021-01-24,google,organic,(organic),928,32,23,12,0.034482758620689655,0.024784482758620691,0.012931034482758621
2021-01-24,shop.googlemerchandisestore.com,referral,(referral),233,12,8,6,0.051502145922746781,0.034334763948497854,0.02575107296137339
2021-01-25,(data deleted),(data deleted),(data deleted),216,15,10,5,0.069444444444444448,0.046296296296296294,0.023148148148148147
2021-01-25,(data deleted),(data deleted),<Other>,9,1,0,0,0.1111111111111111,0.0,0.0
2021-01-25,(direct),(none),(direct),874,33,17,12,0.037757437070938218,0.019450800915331808,0.013729977116704805
2021-01-25,<Other>,(data deleted),(data deleted),2,0,0,0,0.0,0.0,0.0
2021-01-25,<Other>,<Other>,<Other>,583,21,12,7,0.036020583190394515,0.020583190394511151,0.012006861063464836
2021-01-25,<Other>,organic,(organic),108,3,2,2,0.027777777777777776,0.018518518518518517,0.018518518518518517
2021-01-25,<Other>,referral,(referral),348,12,9,8,0.034482758620689655,0.025862068965517241,0.022988505747126436
2021-01-25,google,cpc,<Other>,174,5,4,4,0.028735632183908046,0.022988505747126436,0.022988505747126436
2021-01-25,google,organic,(organic),1248,43,20,13,0.034455128205128208,0.016025641025641024,0.010416666666666666
2021-01-25,shop.googlemerchandisestore.com,referral,(referral),300,13,9,6,0.043333333333333335,0.03,0.02
2021-01-26,(data deleted),(data deleted),(data deleted),259,11,12,9,0.042471042471042469,0.04633204633204633,0.034749034749034749
2021-01-26,(data deleted),(data deleted),<Other>,7,0,0,0,0.0,0.0,0.0
2021-01-26,(direct),(none),(direct),895,33,26,13,0.036871508379888271,0.029050279329608939,0.01452513966480447
2021-01-26,<Other>,(data deleted),(data deleted),5,0,0,0,0.0,0.0,0.0
2021-01-26,<Other>,<Other>,<Other>,596,16,4,1,0.026845637583892617,0.0067114093959731542,0.0016778523489932886
2021-01-26,<Other>,organic,(organic),116,5,2,2,0.043103448275862072,0.017241379310344827,0.017241379310344827
2021-01-26,<Other>,referral,(referral),381,12,7,4,0.031496062992125984,0.018372703412073491,0.010498687664041995
2021-01-26,google,cpc,<Other>,192,5,4,1,0.026041666666666668,0.020833333333333332,0.005208333333333333
2021-01-26,google,organic,(organic),1277,45,19,11,0.035238841033672669,0.014878621769772905,0.0086139389193422081
2021-01-26,shop.googlemerchandisestore.com,referral,(referral),320,13,8,6,0.040625,0.025,0.01875
2021-01-27,(data deleted),(data deleted),(data deleted),274,13,14,6,0.047445255474452552,0.051094890510948905,0.021897810218978103
2021-01-27,(data deleted),(data deleted),<Other>,6,0,0,0,0.0,0.0,0.0
2021-01-27,(direct),(none),(direct),958,55,25,9,0.057411273486430062,0.026096033402922755,0.0093945720250521916
2021-01-27,<Other>,(data deleted),(data deleted),5,0,0,0,0.0,0.0,0.0
2021-01-27,<Other>,<Other>,<Other>,612,32,17,7,0.052287581699346407,0.027777777777777776,0.011437908496732025
